data_mes,fonte_dados,quantidade
2025-01-01,furtos,1282
2025-01-01,roubos,962
2025-02-01,furtos,1223
2025-02-01,roubos,735
2025-03-01,furtos,1134
2025-03-01,roubos,800
2025-04-01,furtos,1053
2025-04-01,roubos,801
2025-05-01,furtos,1038
2025-05-01,roubos,853
2025-06-01,furtos,936
2025-06-01,roubos,751
2025-07-01,furtos,1163
2025-07-01,roubos,798
2025-08-01,furtos,1199
2025-08-01,roubos,622
2025-09-01,furtos,1007
2025-09-01,roubos,690
2025-10-01,furtos,977
2025-10-01,roubos,748
2025-11-01,furtos,432
2025-11-01,roubos,234
2025-12-01,furtos,366
2025-12-01,roubos,250
