data_mes,municipio,quantidade
2025-01-01,CARIACICA,56
2025-01-01,SERRA,51
2025-01-01,VITORIA,46
2025-01-01,VILA VELHA,16
2025-01-01,COLATINA,14
2025-01-01,ARACRUZ,6
2025-01-01,MANTENOPOLIS,6
2025-01-01,CASTELO,5
2025-01-01,CONCEICAO DA BARRA,5
2025-01-01,SANTA TERESA,4
2025-01-01,ANCHIETA,3
2025-01-01,ALFREDO CHAVES,2
2025-01-01,CACHOEIRO DE ITAPEMIRIM,2
2025-01-01,GUARAPARI,2
2025-01-01,VARGEM ALTA,2
2025-01-01,VIANA,2
2025-01-01,AGUIA BRANCA,1
2025-01-01,GOVERNADOR LINDENBERG,1
2025-01-01,ICONHA,1
2025-01-01,LINHARES,1
2025-01-01,NOVA VENECIA,1
2025-01-01,PANCAS,1
2025-01-01,PINHEIROS,1
2025-01-01,SAO GABRIEL DA PALHA,1
2025-02-01,VITORIA,34
2025-02-01,CARIACICA,21
2025-02-01,COLATINA,18
2025-02-01,SERRA,14
2025-02-01,MANTENOPOLIS,6
2025-02-01,ANCHIETA,5
2025-02-01,CASTELO,4
2025-02-01,ALFREDO CHAVES,3
2025-02-01,GUARAPARI,3
2025-02-01,VILA VELHA,3
2025-02-01,BARRA DE SAO FRANCISCO,2
2025-02-01,CACHOEIRO DE ITAPEMIRIM,2
2025-02-01,CONCEICAO DA BARRA,2
2025-02-01,PANCAS,2
2025-02-01,VIANA,2
2025-02-01,ARACRUZ,1
2025-02-01,CONCEICAO DO CASTELO,1
2025-02-01,GOVERNADOR LINDENBERG,1
2025-02-01,ICONHA,1
2025-02-01,NOVA VENECIA,1
2025-02-01,PINHEIROS,1
2025-02-01,RIO NOVO DO SUL,1
2025-02-01,SANTA MARIA DE JETIBA,1
2025-02-01,VARGEM ALTA,1
2025-02-01,VENDA NOVA DO IMIGRANTE,1
2025-03-01,COLATINA,42
2025-03-01,VITORIA,24
2025-03-01,SERRA,20
2025-03-01,VILA VELHA,18
2025-03-01,CARIACICA,12
2025-03-01,CASTELO,7
2025-03-01,ANCHIETA,5
2025-03-01,SANTA TERESA,5
2025-03-01,MANTENOPOLIS,4
2025-03-01,ALFREDO CHAVES,3
2025-03-01,ARACRUZ,3
2025-03-01,GUARAPARI,3
2025-03-01,CONCEICAO DA BARRA,2
2025-03-01,PINHEIROS,2
2025-03-01,SANTA MARIA DE JETIBA,2
2025-03-01,VIANA,2
2025-03-01,AFONSO CLAUDIO,1
2025-03-01,BARRA DE SAO FRANCISCO,1
2025-03-01,CACHOEIRO DE ITAPEMIRIM,1
2025-03-01,GOVERNADOR LINDENBERG,1
2025-03-01,IBIRACU,1
2025-03-01,LINHARES,1
2025-03-01,PANCAS,1
2025-03-01,SAO ROQUE DO CANAA,1
2025-03-01,VARGEM ALTA,1
2025-04-01,SERRA,34
2025-04-01,COLATINA,25
2025-04-01,VITORIA,25
2025-04-01,CARIACICA,17
2025-04-01,ARACRUZ,7
2025-04-01,ANCHIETA,5
2025-04-01,CASTELO,5
2025-04-01,PINHEIROS,4
2025-04-01,CONCEICAO DA BARRA,3
2025-04-01,MANTENOPOLIS,3
2025-04-01,ALFREDO CHAVES,2
2025-04-01,CACHOEIRO DE ITAPEMIRIM,2
