data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia
2025-01-01,15:40:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MANTENOPOLIS,SAO JOSE DE MANTENOPOLIS,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,15.0,TARDE
2025-01-01,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,SAO LOURENCO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,,
2025-01-02,07:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ANCHIETA,JUSTICA II,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,7.0,MANHA
2025-01-02,21:07:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VENDA NOVA DO IMIGRANTE,VILA DA MATA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,21.0,NOITE
2025-01-02,08:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MATA DA PRAIA,RESIDÊNCIA,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,8.0,MANHA
2025-01-02,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,PRAIA DO CANTO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,,
2025-01-02,08:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SAO SILVANO,COMÉRCIO,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,8.0,MANHA
2025-01-03,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,ITAPOA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,10.0,MANHA
2025-01-03,16:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,PRAIA DA COSTA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,16.0,TARDE
2025-01-03,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,CASCATA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,,
2025-01-03,15:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,15.0,TARDE
2025-01-03,16:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,16.0,TARDE
2025-01-03,13:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,13.0,TARDE
2025-01-03,23:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,VILA BATISTA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,23.0,NOITE
2025-01-03,09:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,VALE ENCANTADO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,9.0,MANHA
2025-01-04,17:05:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ALFREDO CHAVES,OURO BRANCO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,5.0,SAB,True,17.0,TARDE
2025-01-04,21:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,NOVA VALVERDE,RESIDÊNCIA,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,5.0,SAB,True,21.0,NOITE
2025-01-05,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,,
2025-01-05,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,,
2025-01-05,20:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,VERA CRUZ,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,20.0,NOITE
2025-01-05,00:42:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,0.0,MADRUGADA
2025-01-05,21:49:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,21.0,NOITE
2025-01-06,08:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MATA DA PRAIA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,8.0,MANHA
2025-01-06,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,,
2025-01-06,18:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,GUARAPARI,NOVA GUARAPARI,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,18.0,NOITE
2025-01-06,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,13.0,TARDE
2025-01-06,13:53:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,OUTRO LOCAL,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,13.0,TARDE
2025-01-06,16:31:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VIANA,VALE DO SOL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,16.0,TARDE
2025-01-06,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,JARDIM LIMOEIRO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,10.0,MANHA
2025-01-06,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,PONTE DO PANCAS,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,11.0,MANHA
2025-01-06,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,NOSSA SENHORA APARECIDA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,13.0,TARDE
2025-01-06,17:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VARGEM ALTA,BELEM,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,17.0,TARDE
2025-01-06,17:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VARGEM ALTA,BELEM,AMBIENTE WEB,crimes_informaticos,digital,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,17.0,TARDE
