data_mes,categoria_macro,quantidade
2025-01-01,digital,230
2025-01-01,objetos,1897
2025-01-01,patrimonial,5036
2025-01-01,violencia_social,1834
2025-02-01,digital,131
2025-02-01,objetos,1682
2025-02-01,patrimonial,4444
2025-02-01,violencia_social,1568
2025-03-01,digital,163
2025-03-01,objetos,1781
2025-03-01,patrimonial,4834
2025-03-01,violencia_social,1661
2025-04-01,digital,145
2025-04-01,objetos,1594
2025-04-01,patrimonial,4463
2025-04-01,violencia_social,1584
2025-05-01,digital,133
2025-05-01,objetos,1780
2025-05-01,patrimonial,4847
2025-05-01,violencia_social,1538
2025-06-01,digital,121
2025-06-01,objetos,1546
2025-06-01,patrimonial,4551
2025-06-01,violencia_social,1559
2025-07-01,digital,143
2025-07-01,objetos,1733
2025-07-01,patrimonial,4956
2025-07-01,violencia_social,1568
2025-08-01,digital,163
2025-08-01,objetos,1655
2025-08-01,patrimonial,4888
2025-08-01,violencia_social,1709
2025-09-01,digital,123
2025-09-01,objetos,1555
2025-09-01,patrimonial,4431
2025-09-01,violencia_social,1565
2025-10-01,digital,182
2025-10-01,objetos,1651
2025-10-01,patrimonial,4982
2025-10-01,violencia_social,1572
2025-11-01,digital,55
2025-11-01,objetos,587
2025-11-01,patrimonial,1726
2025-11-01,violencia_social,599
2025-12-01,digital,67
2025-12-01,objetos,561
2025-12-01,patrimonial,1504
2025-12-01,violencia_social,613
