municipio,categoria_macro,quantidade
VILA VELHA,patrimonial,4609
VITORIA,patrimonial,4239
SERRA,patrimonial,3863
CARIACICA,patrimonial,2831
VILA VELHA,objetos,1637
SERRA,objetos,1537
VITORIA,objetos,1505
CARIACICA,objetos,1267
LINHARES,patrimonial,1219
CACHOEIRO DE ITAPEMIRIM,patrimonial,1187
GUARAPARI,patrimonial,1054
SERRA,violencia_social,1000
VILA VELHA,violencia_social,815
CARIACICA,violencia_social,742
COLATINA,patrimonial,702
ARACRUZ,patrimonial,564
VITORIA,violencia_social,503
CACHOEIRO DE ITAPEMIRIM,violencia_social,489
SAO MATEUS,patrimonial,478
LINHARES,violencia_social,472
GUARAPARI,objetos,402
COLATINA,violencia_social,399
LINHARES,objetos,359
ARACRUZ,violencia_social,358
VIANA,patrimonial,357
MARATAIZES,patrimonial,354
SAO MATEUS,violencia_social,301
GUARAPARI,violencia_social,292
NOVA VENECIA,patrimonial,260
ITAPEMIRIM,patrimonial,225
BARRA DE SAO FRANCISCO,patrimonial,214
SERRA,digital,188
PIUMA,patrimonial,185
VITORIA,digital,173
SAO GABRIEL DA PALHA,patrimonial,168
ANCHIETA,patrimonial,163
NOVA VENECIA,violencia_social,155
CASTELO,patrimonial,151
GUACUI,patrimonial,151
VENDA NOVA DO IMIGRANTE,patrimonial,151
BAIXO GUANDU,patrimonial,150
ARACRUZ,objetos,148
MARATAIZES,violencia_social,144
CACHOEIRO DE ITAPEMIRIM,objetos,137
VIANA,violencia_social,137
ITAPEMIRIM,violencia_social,136
SANTA MARIA DE JETIBA,patrimonial,133
BARRA DE SAO FRANCISCO,violencia_social,132
SANTA MARIA DE JETIBA,violencia_social,126
CONCEICAO DA BARRA,patrimonial,122
SAO MATEUS,objetos,109
SAO GABRIEL DA PALHA,violencia_social,103
FUNDAO,patrimonial,101
IUNA,patrimonial,101
ANCHIETA,violencia_social,100
MONTANHA,patrimonial,93
SOORETAMA,patrimonial,93
ALEGRE,patrimonial,91
COLATINA,objetos,90
ALEGRE,violencia_social,89
SANTA TERESA,patrimonial,86
CASTELO,violencia_social,85
COLATINA,digital,84
MIMOSO DO SUL,patrimonial,84
VIANA,objetos,82
MARATAIZES,objetos,81
PINHEIROS,patrimonial,81
AFONSO CLAUDIO,violencia_social,80
IBATIBA,patrimonial,80
