uf,municipio,bairro,categoria_macro
ES,MANTENOPOLIS,SAO JOSE DE MANTENOPOLIS,digital
ES,SERRA,SAO LOURENCO,digital
ES,ANCHIETA,JUSTICA II,digital
ES,VENDA NOVA DO IMIGRANTE,VILA DA MATA,digital
ES,VITORIA,MATA DA PRAIA,digital
ES,VITORIA,PRAIA DO CANTO,digital
ES,COLATINA,SAO SILVANO,digital
ES,VILA VELHA,ITAPOA,digital
ES,VILA VELHA,PRAIA DA COSTA,digital
ES,SERRA,CASCATA,digital
ES,VITORIA,JARDIM CAMBURI,digital
ES,VITORIA,JARDIM DA PENHA,digital
ES,VILA VELHA,VILA BATISTA,digital
ES,VILA VELHA,VALE ENCANTADO,digital
ES,ALFREDO CHAVES,OURO BRANCO,digital
ES,CARIACICA,NOVA VALVERDE,digital
ES,SAO MATEUS,BAIRRO_NAO_INFORMADO,digital
ES,CARIACICA,VERA CRUZ,digital
ES,GUARAPARI,NOVA GUARAPARI,digital
ES,VIANA,VALE DO SOL,digital
ES,SERRA,JARDIM LIMOEIRO,digital
ES,COLATINA,PONTE DO PANCAS,digital
ES,CASTELO,NOSSA SENHORA APARECIDA,digital
ES,VARGEM ALTA,BELEM,digital
ES,SAO ROQUE DO CANAA,VILA VERDE,digital
ES,PRESIDENTE KENNEDY,SAO EDUARDO,digital
ES,PINHEIROS,BAIRRO_NAO_INFORMADO,digital
ES,COLATINA,SANTOS DUMONT,digital
ES,CARIACICA,SAO FRANCISCO,digital
ES,VITORIA,REPUBLICA,digital
ES,VILA VELHA,COBI DE CIMA,digital
ES,CARIACICA,JARDIM BOTANICO,digital
ES,VIANA,UNIVERSAL,digital
ES,SERRA,BAIRRO DAS LARANJEIRAS,digital
ES,COLATINA,SAO PEDRO,digital
ES,CARIACICA,MORADA DE SANTA FE,digital
ES,VIANA,ANTARTICA,digital
ES,CONCEICAO DA BARRA,MARCILIO DIAS I,digital
ES,CARIACICA,CAMPINA GRANDE,digital
ES,SERRA,PLANALTO SERRANO,digital
ES,VILA VELHA,COQUEIRAL DE ITAPARICA,digital
ES,VITORIA,SANTO ANTONIO,digital
ES,CARIACICA,CACAROCA,digital
ES,COLATINA,BAIRRO_NAO_INFORMADO,digital
ES,VILA VELHA,GUARANHUNS,digital
ES,CARIACICA,SANTO ANDRE,digital
ES,VILA VELHA,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,CIDADE CONTINENTAL,digital
ES,SERRA,BICANGA,digital
ES,CARIACICA,VILA CAPIXABA,digital
ES,CARIACICA,RIO MARINHO,digital
ES,CONCEICAO DA BARRA,NOVA BETHANIA,digital
ES,VARGEM ALTA,PROSPERIDADE,digital
ES,VARGEM ALTA,SANTO ANTONIO,digital
ES,CARIACICA,ITAPEMIRIM,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO CRUZEIRO,digital
ES,GUARAPARI,PRAIA DO MORRO,digital
ES,VILA VELHA,ALVORADA,digital
ES,VITORIA,DO QUADRO,digital
ES,SANTA TERESA,BAIRRO_NAO_INFORMADO,digital
ES,VILA VELHA,INDUSTRIAL,digital
ES,CARIACICA,ROSA DA PENHA,digital
ES,SERRA,PARQUE RESIDENCIAL TUBARAO,digital
ES,VILA VELHA,PRAIA DE ITAPARICA,digital
ES,CARIACICA,BELA AURORA,digital
ES,SANTA TERESA,CENTENARIO,digital
ES,CONCEICAO DA BARRA,CENTRO,digital
ES,VITORIA,CENTRO,digital
ES,SERRA,MORADA DE LARANJEIRAS,digital
ES,CARIACICA,ITANGUA,digital
ES,VARGEM ALTA,PARAISO,digital
ES,CARIACICA,VILA ISABEL,digital
ES,ARACRUZ,SEGATO,digital
ES,SANTA TERESA,VILA NOVA,digital
ES,SERRA,VALPARAISO,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO_NAO_INFORMADO,digital
ES,AGUIA BRANCA,JOAO PAULO II,digital
ES,SERRA,COLINA DA SERRA,digital
ES,CARIACICA,FLEXAL I,digital
ES,VARGEM ALTA,SAO JOSE DE FRUTEIRA,digital
ES,SERRA,FEU ROSA,digital
ES,CARIACICA,CAMPO GRANDE,digital
ES,VITORIA,TABUAZEIRO,digital
ES,CARIACICA,NOVA BRASILIA,digital
ES,VILA VELHA,SANTA PAULA II,digital
ES,ARACRUZ,VILA NOVA,digital
ES,CONCEICAO DA BARRA,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,BAIRRO_NAO_INFORMADO,digital
ES,CARIACICA,JARDIM AMERICA,digital
ES,VITORIA,ENSEADA DO SUA,digital
ES,CARIACICA,EXPEDITO,digital
ES,CARIACICA,JARDIM DE ALAH,digital
ES,CARIACICA,BOA SORTE,digital
ES,SERRA,PORTO CANOA,digital
ES,SERRA,RESIDENCIAL CENTRO DA SERRA,digital
ES,CASTELO,CENTRO,digital
ES,SERRA,CAMPINHO DA SERRA I,digital
ES,SANTA MARIA DE JETIBA,BAIRRO_NAO_INFORMADO,digital
ES,VITORIA,RESISTENCIA,digital
ES,CARIACICA,ITACIBA,digital
ES,COLATINA,SAO VICENTE,digital
ES,CARIACICA,CRUZEIRO DO SUL,digital
ES,SAO MATEUS,SEAC,digital
ES,SERRA,CAMPINHO DA SERRA II,digital
ES,VILA VELHA,PRIMEIRO DE MAIO,digital
ES,VILA VELHA,VILA GARRIDO,digital
ES,CARIACICA,BAIRRO_NAO_INFORMADO,digital
ES,SANTA TERESA,CANAA,digital
ES,VITORIA,ILHA DE SANTA MARIA,digital
ES,MANTENOPOLIS,SAO GERALDO,digital
ES,VITORIA,BAIRRO_NAO_INFORMADO,digital
ES,CASTELO,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,SANTA LUZIA,digital
ES,MANTENOPOLIS,CENTRO,digital
ES,CONCEICAO DA BARRA,SAO JOSE,digital
ES,CARIACICA,PORTO DE CARIACICA,digital
ES,VIANA,CENTRO,digital
ES,VILA VELHA,ATAIDE,digital
ES,CONCEICAO DA BARRA,BRACO DO RIO,digital
ES,GUARAPARI,SAO GABRIEL,digital
ES,VILA VELHA,SAO TORQUATO,digital
ES,CONCEICAO DA BARRA,SAO JORGE,digital
ES,VITORIA,SANTA LUIZA,digital
ES,COLATINA,COLUMBIA,digital
ES,CONCEICAO DA BARRA,NOSSA SENHORA APARECIDA,digital
ES,VITORIA,SANTA MARTHA,digital
ES,VITORIA,INHANGUETA,digital
ES,VITORIA,FRADINHOS,digital
ES,SERRA,NOVA CARAPINA I,digital
ES,CARIACICA,FLEXAL II,digital
ES,VITORIA,SANTA LUCIA,digital
ES,CARIACICA,MUCURI,digital
ES,ICONHA,CENTRO,digital
ES,VILA VELHA,JARDIM MARILANDIA,digital
ES,COLATINA,ALTO VILA NOVA,digital
ES,VITORIA,BELA VISTA,digital
ES,COLATINA,CENTRO,digital
ES,CACHOEIRO DE ITAPEMIRIM,IBC,digital
ES,VITORIA,MORADA DE CAMBURI,digital
ES,CARIACICA,BANDEIRANTES,digital
ES,VILA VELHA,COBILANDIA,digital
ES,COLATINA,SAO MARCOS,digital
ES,ARACRUZ,SAUACU,digital
ES,CACHOEIRO DE ITAPEMIRIM,BOA ESPERANCA,digital
ES,VITORIA,MARIA ORTIZ,digital
ES,ALFREDO CHAVES,SIRIBEIRA,digital
ES,CARIACICA,CARIACICA SEDE,digital
ES,VIANA,VILA BETHANIA,digital
ES,SERRA,BELVEDERE,digital
ES,VILA VELHA,ILHA DAS FLORES,digital
ES,ARACRUZ,BELA VISTA,digital
ES,VITORIA,ESTRELINHA,digital
ES,DOMINGOS MARTINS,PEDRA AZUL,digital
ES,SERRA,SAO MARCOS I,digital
ES,VILA VELHA,ALECRIM,digital
ES,SERRA,SERRA CENTRO,digital
ES,COLATINA,HONORIO FRAGA,digital
ES,SERRA,RESIDENCIAL VISTA DO MESTRE,digital
ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,digital
ES,VITORIA,SAO CRISTOVAO,digital
ES,CARIACICA,NOVA ROSA DA PENHA,digital
ES,CARIACICA,VASCO DA GAMA,digital
ES,CARIACICA,NOVO BRASIL,digital
ES,SERRA,JOSE DE ANCHIETA,digital
ES,VIANA,MARCILIO DE NORONHA,digital
ES,COLATINA,AYRTON SENNA,digital
ES,SAO MATEUS,CENTRO,digital
ES,CARIACICA,NOVA CAMPO GRANDE,digital
ES,ALFREDO CHAVES,CENTRO,digital
ES,VILA VELHA,CRISTOVAO COLOMBO,digital
ES,VILA VELHA,RIO MARINHO,digital
ES,SERRA,CIDADE POMAR,digital
ES,CARIACICA,PORTO DE SANTANA,digital
ES,CARIACICA,SANTA BARBARA,digital
ES,VIANA,PARQUE INDUSTRIAL,digital
ES,CONCEICAO DA BARRA,MARIA MANTEIGA,digital
ES,MANTENOPOLIS,IPIRANGA,digital
ES,VITORIA,SANTOS DUMONT,digital
ES,PANCAS,NOSSA SENHORA DAS GRACAS,digital
ES,SERRA,SAO MARCOS II,digital
ES,VITORIA,ITARARE,digital
ES,LINHARES,ARACA,digital
ES,CARIACICA,PIRANEMA,digital
ES,CARIACICA,VILA INDEPENDENCIA,digital
ES,MANTENOPOLIS,ANTUR ARTUR,digital
ES,PINHEIROS,PINHEIRINHO,digital
ES,VILA VELHA,PAUL,digital
ES,AGUIA BRANCA,BAIRRO_NAO_INFORMADO,digital
ES,CARIACICA,ITAQUARI,digital
ES,SERRA,JARDIM BELA VISTA,digital
ES,SERRA,ELDORADO,digital
ES,SERRA,NOVA CARAPINA II,digital
ES,CARIACICA,SAO CONRADO,digital
ES,AGUA DOCE DO NORTE,BAIRRO_NAO_INFORMADO,digital
ES,ARACRUZ,COQUEIRAL,digital
ES,CASTELO,SANTO ANDREZINHO,digital
ES,SERRA,VISTA DA SERRA I,digital
ES,SERRA,VILA NOVA DE COLARES,digital
ES,COLATINA,NOVO HORIZONTE,digital
ES,SANTA LEOPOLDINA,RETIRO,digital
ES,CARIACICA,ALTO LAGE,digital
ES,ARACRUZ,BAIRRO_NAO_INFORMADO,digital
ES,COLATINA,VILA NOVA,digital
ES,CARIACICA,VISTA DOURADA,digital
ES,SERRA,BARCELONA,digital
ES,CARIACICA,OPERARIO,digital
ES,CASTELO,ARACUI,digital
ES,VITORIA,SAO PEDRO,digital
ES,ALFREDO CHAVES,IMIGRANTE,digital
ES,VILA VELHA,COBI DE BAIXO,digital
ES,VILA VELHA,CENTRO VILA VELHA,digital
ES,VILA VELHA,SANTA RITA,digital
ES,SAO MATEUS,GURIRI,digital
ES,VITORIA,GOIABEIRAS,digital
ES,BAIXO GUANDU,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,COLINA DE LARANJEIRAS,digital
ES,ARACRUZ,JARDINS,digital
ES,COLATINA,FRANCISCO SIMONASSI,digital
ES,VITORIA,CONQUISTA,digital
