data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia
2025-01-01,01:54:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,CONCEICAO DA BARRA,ITAUNAS,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1.0,MADRUGADA
2025-01-01,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ITAPEMIRIM,ITAIPAVA,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,2.0,MADRUGADA
2025-01-01,06:01:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ARACRUZ,BARRA DO SAHY,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,6.0,MANHA
2025-01-01,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ITAPOA,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,0.0,MADRUGADA
2025-01-01,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,5.0,MADRUGADA
2025-01-01,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,OUTRO LOCAL,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,0.0,MADRUGADA
2025-01-01,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,CENTRO,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1.0,MADRUGADA
2025-01-01,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,APARECIDA,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,0.0,MADRUGADA
2025-01-01,01:13:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,JARDIM MAILY,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1.0,MADRUGADA
2025-01-01,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIA ORTIZ,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,2.0,MADRUGADA
2025-01-01,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,GUACUI,CENTRO,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1.0,MADRUGADA
2025-01-01,13:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,13.0,TARDE
2025-01-01,00:25:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,CENTRO,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,0.0,MADRUGADA
2025-01-01,01:12:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,JARDIM MAILY,OUTRO LOCAL,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1.0,MADRUGADA
2025-01-01,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASCATA,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,,
2025-01-01,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,CENTRO,VIA PÚBLICA,furtos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,2.0,MADRUGADA
