data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,idade,genero,cor,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia,faixa_etaria
2025-01-01,09:04,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,45.0,1 - MASCULINO,PARDA,VILA VELHA,JARDIM GUARANHUNS,DOMICÍLIO,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,9,MANHA,45_54
2025-01-01,07:31,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,39.0,1 - MASCULINO,PARDA,LINHARES,PONTAL DO IPIRANGA,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,7,MANHA,35_44
2025-01-01,04:17,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,44.0,1 - MASCULINO,PARDA,VILA VELHA,BARRAMARES,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,4,MADRUGADA,35_44
2025-01-01,01:08,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,17.0,1 - MASCULINO,PARDA,DIVINO DE SAO LOURENCO,PATRIMONIO DA PENHA,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,1,MADRUGADA,15_17
2025-01-02,08:09,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,21.0,1 - MASCULINO,PARDA,VIANA,SOTECO,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,8,MANHA,18_24
2025-01-03,22:32,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,43.0,1 - MASCULINO,BRANCA,SERRA,VILA NOVA DE COLARES,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,22,NOITE,35_44
2025-01-03,22:35,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,40.0,2 - FEMININO,NEGRA,SERRA,CENTRAL CARAPINA,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,22,NOITE,35_44
2025-01-03,01:04,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,44.0,1 - MASCULINO,PARDA,BOA ESPERANÇA,ZONA RURAL,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,1,MADRUGADA,35_44
2025-01-05,23:25,CRIMES CONTRA A PESSOA,FEMINICÍDIO,ES,19.0,2 - FEMININO,PARDA,SERRA,JOSE DE ANCHIETA,DOMICÍLIO,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,23,NOITE,18_24
2025-01-05,20:44,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,22.0,1 - MASCULINO,BRANCA,SOORETAMA,CENTRO,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,20,NOITE,18_24
2025-01-05,19:30,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,36.0,1 - MASCULINO,PARDA,CARIACICA,JARDIM BOTANICO,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,19,NOITE,35_44
2025-01-05,10:10,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,49.0,1 - MASCULINO,BRANCA,FUNDAO,CENTRO,DOMICÍLIO,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,10,MANHA,45_54
2025-01-05,08:10,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,51.0,2 - FEMININO,PARDA,SERRA,LARANJEIRAS VELHA,ESTABELECIMENTO INDUSTRIAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,8,MANHA,45_54
2025-01-06,12:19,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,17.0,2 - FEMININO,BRANCA,CARIACICA,PADRE GABRIEL,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,12,TARDE,15_17
2025-01-06,08:09,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,26.0,1 - MASCULINO,PARDA,CARIACICA,RETIRO SAUDOSO,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,0.0,SEG,False,8,MANHA,25_34
2025-01-09,00:57,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,22.0,1 - MASCULINO,PARDA,LINHARES,NOVA BETHANIA,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,3.0,QUI,False,0,MADRUGADA,18_24
2025-01-10,15:56,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,22.0,1 - MASCULINO,PARDA,VILA VELHA,RIO MARINHO,VIA PÚBLICA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,15,TARDE,18_24
2025-01-10,06:30,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,30.0,1 - MASCULINO,PARDA,MARATAIZES,ACAPULCO,UNIDADE PRISIONAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,4.0,SEX,False,6,MANHA,25_34
2025-01-11,22:23,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,35.0,1 - MASCULINO,PARDA,VITORIA,ESTRELINHA,DOMICÍLIO,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,5.0,SAB,True,22,NOITE,35_44
2025-01-11,02:39,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,18.0,1 - MASCULINO,PARDA,ALEGRE,RIVE,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,5.0,SAB,True,2,MADRUGADA,18_24
2025-01-12,14:54,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,51.0,1 - MASCULINO,PARDA,VITORIA,CONQUISTA,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,14,TARDE,45_54
2025-01-12,09:09,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,PARDA,SERRA,BALNEARIO DE CARAPEBUS,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,1.0,JAN,2025-01-01,6.0,DOM,True,9,MANHA,18_24
2025-02-01,20:38,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,23.0,1 - MASCULINO,NEGRA,SAO GABRIEL DA PALHA,GUSTAVO BOONE,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,20,NOITE,18_24
2025-02-02,02:01,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,17.0,2 - FEMININO,PARDA,SERRA,SAO GERALDO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,2,MADRUGADA,15_17
2025-02-02,00:03,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,23.0,1 - MASCULINO,PARDA,CARIACICA,SANTO ANTONIO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,0,MADRUGADA,18_24
2025-02-02,23:57,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,26.0,1 - MASCULINO,PARDA,CARIACICA,SANTO ANTONIO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,23,NOITE,25_34
