fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 - MASCULINO,PARDA,45.0,45_54,VILA VELHA,JARDIM GUARANHUNS,,
homicidios,violencia_social,1 - MASCULINO,PARDA,39.0,35_44,LINHARES,PONTAL DO IPIRANGA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,44.0,35_44,VILA VELHA,BARRAMARES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,17.0,15_17,DIVINO DE SAO LOURENCO,PATRIMONIO DA PENHA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,VIANA,SOTECO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,43.0,35_44,SERRA,VILA NOVA DE COLARES,,
homicidios,violencia_social,2 - FEMININO,NEGRA,40.0,35_44,SERRA,CENTRAL CARAPINA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,44.0,35_44,BOA ESPERANÇA,ZONA RURAL,,
homicidios,violencia_social,2 - FEMININO,PARDA,19.0,18_24,SERRA,JOSE DE ANCHIETA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,22.0,18_24,SOORETAMA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,36.0,35_44,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,49.0,45_54,FUNDAO,CENTRO,,
homicidios,violencia_social,2 - FEMININO,PARDA,51.0,45_54,SERRA,LARANJEIRAS VELHA,,
homicidios,violencia_social,2 - FEMININO,BRANCA,17.0,15_17,CARIACICA,PADRE GABRIEL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,CARIACICA,RETIRO SAUDOSO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,22.0,18_24,LINHARES,NOVA BETHANIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,22.0,18_24,VILA VELHA,RIO MARINHO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,30.0,25_34,MARATAIZES,ACAPULCO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,35.0,35_44,VITORIA,ESTRELINHA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,18.0,18_24,ALEGRE,RIVE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,51.0,45_54,VITORIA,CONQUISTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,SERRA,BALNEARIO DE CARAPEBUS,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,23.0,18_24,SAO GABRIEL DA PALHA,GUSTAVO BOONE,,
homicidios,violencia_social,2 - FEMININO,PARDA,17.0,15_17,SERRA,SAO GERALDO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,CARIACICA,SANTO ANTONIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,CARIACICA,SANTO ANTONIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,33.0,25_34,VITORIA,SANTO ANTONIO,,
homicidios,violencia_social,2 - FEMININO,NEGRA,29.0,25_34,VITORIA,SANTO ANTONIO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,43.0,35_44,COLATINA,AYRTON SENNA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,34.0,25_34,VIANA,MARCILIO DE NORONHA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,,,VARGEM ALTA,SUMIDOURO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,3.0,0_14,CARIACICA,ORIENTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,31.0,25_34,VILA VELHA,COBI DE CIMA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,35.0,35_44,SERRA,VISTA DA SERRA II,,
homicidios,violencia_social,1 - MASCULINO,,,,SAO MATEUS,CENTRO,,
homicidios,violencia_social,2 - FEMININO,PARDA,,,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,21.0,18_24,IBIRACU,ELIAS BRAGATO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,48.0,45_54,CARIACICA,NOVO BRASIL,,
homicidios,violencia_social,1 - MASCULINO,AMARELA,33.0,25_34,PIUMA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,32.0,25_34,NOVA VENECIA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,VILA VELHA,ILHA DOS AYRES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,31.0,25_34,CARIACICA,NOVA ROSA DA PENHA II,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,43.0,35_44,CACHOEIRO DE ITAPEMIRIM,SANTO ANTONIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,SERRA,RESIDENCIAL CENTRO DA SERRA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,49.0,45_54,SERRA,CIDADE POMAR,,
homicidios,violencia_social,2 - FEMININO,PARDA,36.0,35_44,GOVERNADOR LINDENBERG,NOVO BASIL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,SERRA,PRAIA DE CARAPEBUS,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,ANCHIETA,JERUSALEM,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,38.0,35_44,CARIACICA,CAMPINA GRANDE,,
homicidios,violencia_social,2 - FEMININO,BRANCA,77.0,65_PLUS,VILA VELHA,ITAPOA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,18.0,18_24,VILA VELHA,COBI DE BAIXO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,,,SOORETAMA,SALVADOR,,
homicidios,violencia_social,1 - MASCULINO,PARDA,18.0,18_24,CARIACICA,NOVA ROSA DA PENHA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,19.0,18_24,AFONSO CLAUDIO,SAO FRANCISCO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,16.0,15_17,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 - MASCULINO,PARDA,22.0,18_24,VILA VELHA,SAO TORQUATO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,VITORIA,MARIO CYPRESTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,22.0,18_24,SERRA,COSTA DOURADA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,40.0,35_44,ITAPEMIRIM,CAMPO ACIMA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,48.0,45_54,VITORIA,,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,SANTA MARIA DE JETIBA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,19.0,18_24,FUNDAO,CAMPESTRE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,14.0,0_14,VITORIA,GRANDE VITORIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,23.0,18_24,ITAGUACU,SANTA FE,,
