municipio,bairro,categoria_macro,quantidade
VITORIA,CENTRO,patrimonial,683
VILA VELHA,PRAIA DA COSTA,patrimonial,616
LINHARES,OUTRO LOCAL,patrimonial,428
VITORIA,CENTRO,objetos,420
CARIACICA,CAMPO GRANDE,patrimonial,415
VITORIA,JARDIM DA PENHA,patrimonial,316
VITORIA,JARDIM CAMBURI,patrimonial,315
VILA VELHA,CENTRO VILA VELHA,patrimonial,301
VILA VELHA,ITAPOA,patrimonial,301
VITORIA,ENSEADA DO SUA,patrimonial,287
VITORIA,PRAIA DO CANTO,patrimonial,283
CACHOEIRO DE ITAPEMIRIM,OUTRO LOCAL,patrimonial,264
SERRA,PARQUE RESIDENCIAL LARANJEIRAS,patrimonial,261
VILA VELHA,PRAIA DE ITAPARICA,patrimonial,258
SAO MATEUS,OUTRO LOCAL,patrimonial,255
SERRA,JARDIM LIMOEIRO,patrimonial,206
ARACRUZ,OUTRO LOCAL,patrimonial,201
VILA VELHA,GLORIA,patrimonial,195
SERRA,PARQUE RESIDENCIAL LARANJEIRAS,objetos,184
CARIACICA,CAMPO GRANDE,objetos,174
GUARAPARI,PRAIA DO MORRO,patrimonial,173
VITORIA,SANTA LUCIA,patrimonial,173
VITORIA,JARDIM CAMBURI,objetos,166
VILA VELHA,COQUEIRAL DE ITAPARICA,patrimonial,164
VITORIA,BENTO FERREIRA,patrimonial,160
SERRA,COLINA DE LARANJEIRAS,patrimonial,159
VILA VELHA,PRAIA DA COSTA,objetos,157
LINHARES,CENTRO,patrimonial,148
VILA VELHA,ATAIDE,patrimonial,141
VITORIA,OUTRO LOCAL,patrimonial,138
GUARAPARI,CENTRO,patrimonial,135
SERRA,BAIRRO DAS LARANJEIRAS,patrimonial,129
CARIACICA,ITACIBA,patrimonial,126
COLATINA,CENTRO,patrimonial,120
VILA VELHA,ARIBIRI,patrimonial,119
SERRA,FEU ROSA,patrimonial,118
VITORIA,MATA DA PRAIA,patrimonial,111
VILA VELHA,COBILANDIA,patrimonial,105
GUARAPARI,MUQUICABA,patrimonial,104
CARIACICA,JARDIM AMERICA,patrimonial,102
MARATAIZES,BARRA DE ITAPEMIRIM,patrimonial,102
SERRA,VALPARAISO,patrimonial,101
VILA VELHA,PRAIA DE ITAPARICA,objetos,100
CACHOEIRO DE ITAPEMIRIM,CENTRO,patrimonial,98
LINHARES,INTERLAGOS,patrimonial,98
SERRA,CARAPINA,patrimonial,98
SERRA,MORADA DE LARANJEIRAS,patrimonial,98
VILA VELHA,CENTRO VILA VELHA,objetos,97
VITORIA,GOIABEIRAS,patrimonial,97
CARIACICA,NOVA ROSA DA PENHA,patrimonial,95
VITORIA,JARDIM DA PENHA,objetos,95
VILA VELHA,OUTRO LOCAL,patrimonial,93
SERRA,JARDIM LIMOEIRO,objetos,91
CARIACICA,OUTRO LOCAL,patrimonial,90
SERRA,NOVO HORIZONTE,patrimonial,89
VILA VELHA,JOCKEY DE ITAPARICA,patrimonial,89
VITORIA,JARDIM CAMBURI,digital,89
CARIACICA,SAO FRANCISCO,patrimonial,88
VILA VELHA,ITAPOA,objetos,88
VILA VELHA,SAO TORQUATO,patrimonial,85
SERRA,CARAPINA,objetos,84
VILA VELHA,DIVINO ESPIRITO SANTO,patrimonial,84
CARIACICA,ALTO LAGE,patrimonial,81
VILA VELHA,VALE ENCANTADO,patrimonial,78
SERRA,JARDIM TROPICAL,patrimonial,77
VIANA,MARCILIO DE NORONHA,patrimonial,75
LINHARES,INTERLAGOS,violencia_social,74
SERRA,PARQUE JACARAIPE,patrimonial,73
VILA VELHA,IBES,patrimonial,73
VITORIA,SANTO ANTONIO,patrimonial,73
CARIACICA,CRUZEIRO DO SUL,patrimonial,72
CARIACICA,VILA CAPIXABA,patrimonial,71
VILA VELHA,RIO MARINHO,patrimonial,70
VITORIA,BARRO VERMELHO,patrimonial,70
SERRA,VILA NOVA DE COLARES,patrimonial,69
VILA VELHA,GLORIA,objetos,69
VILA VELHA,SOTECO,patrimonial,69
VITORIA,MARUIPE,patrimonial,69
SERRA,CARAPINA GRANDE,patrimonial,68
VILA VELHA,ARACAS,patrimonial,68
VITORIA,BENTO FERREIRA,objetos,68
VILA VELHA,COQUEIRAL DE ITAPARICA,objetos,67
VITORIA,SANTA LUIZA,patrimonial,67
CARIACICA,JARDIM AMERICA,objetos,66
SERRA,BALNEARIO DE CARAPEBUS,patrimonial,66
VITORIA,ENSEADA DO SUA,objetos,66
SERRA,BARCELONA,patrimonial,65
SERRA,COLINA DE LARANJEIRAS,objetos,65
VILA VELHA,BARRAMARES,patrimonial,65
VITORIA,PRAIA DO CANTO,objetos,65
BARRA DE SAO FRANCISCO,CENTRO,patrimonial,64
VILA VELHA,DIVINO ESPIRITO SANTO,objetos,64
VITORIA,VILA RUBIM,patrimonial,64
ARACRUZ,CENTRO,patrimonial,63
GUARAPARI,ITAPEBUSSU,patrimonial,63
LINHARES,AVISO,patrimonial,63
SERRA,NOVA CARAPINA I,patrimonial,63
VILA VELHA,ATAIDE,objetos,63
COLATINA,SAO SILVANO,patrimonial,62
SERRA,BAIRRO DAS LARANJEIRAS,objetos,62
VILA VELHA,ALVORADA,patrimonial,62
CARIACICA,RIO BRANCO,objetos,61
GUARAPARI,SANTA MONICA,patrimonial,61
LINHARES,AVISO,violencia_social,61
SAO MATEUS,GURIRI,violencia_social,61
PIUMA,CENTRO,patrimonial,60
SAO GABRIEL DA PALHA,OUTRO LOCAL,patrimonial,60
SERRA,SERRA CENTRO,patrimonial,60
VILA VELHA,SANTA INES,patrimonial,60
GUACUI,OUTRO LOCAL,patrimonial,59
GUARAPARI,OUTRO LOCAL,patrimonial,59
LINHARES,CENTRO,objetos,59
SERRA,PLANALTO SERRANO,patrimonial,59
CARIACICA,CARIACICA SEDE,patrimonial,58
VITORIA,PRAIA DO SUA,patrimonial,58
CARIACICA,PORTO DE SANTANA,patrimonial,57
MARATAIZES,OUTRO LOCAL,patrimonial,57
SERRA,OUTRO LOCAL,patrimonial,56
VITORIA,JUCUTUQUARA,patrimonial,56
CARIACICA,SANTANA,patrimonial,55
SERRA,BAIRRO DE FATIMA,patrimonial,55
GUARAPARI,CENTRO,objetos,54
VILA VELHA,PRAIA DAS GAIVOTAS,patrimonial,53
VITORIA,MARIA ORTIZ,patrimonial,53
CARIACICA,SANTA BARBARA,patrimonial,52
ITAPEMIRIM,ITAIPAVA,patrimonial,52
VITORIA,ILHA DO PRINCIPE,patrimonial,52
SERRA,FEU ROSA,violencia_social,51
SERRA,PARQUE JACARAIPE,objetos,51
VILA VELHA,ARIBIRI,objetos,51
SERRA,VILA NOVA DE COLARES,violencia_social,50
VILA VELHA,NOSSA SENHORA DA PENHA,patrimonial,50
VILA VELHA,NOVO MEXICO,patrimonial,50
MARATAIZES,CIDADE NOVA,patrimonial,49
SERRA,ROSARIO DE FATIMA,patrimonial,49
VILA VELHA,JARDIM MARILANDIA,patrimonial,49
VITORIA,GRANDE VITORIA,patrimonial,49
CARIACICA,CAMPINA GRANDE,patrimonial,48
CARIACICA,ITACIBA,objetos,48
LINHARES,INTERLAGOS,objetos,48
SERRA,JARDIM CARAPINA,patrimonial,48
VILA VELHA,ALECRIM,patrimonial,48
GUARAPARI,PRAIA DO MORRO,objetos,47
ITAPEMIRIM,ITAOCA,patrimonial,47
SERRA,SAO DIOGO II,patrimonial,47
VITORIA,JARDIM CAMBURI,violencia_social,47
VILA VELHA,BARRA DO JUCU,patrimonial,46
VILA VELHA,SAO TORQUATO,objetos,46
VITORIA,SAO PEDRO,patrimonial,46
CARIACICA,CASTELO BRANCO,patrimonial,45
CARIACICA,SAO FRANCISCO,objetos,45
VITORIA,ITARARE,patrimonial,45
CARIACICA,MORADA DE SANTA FE,patrimonial,44
NOVA VENECIA,OUTRO LOCAL,patrimonial,44
SERRA,CASTELANDIA,patrimonial,44
SERRA,ELDORADO,patrimonial,44
SERRA,NOVA CARAPINA II,patrimonial,44
SERRA,PORTO CANOA,patrimonial,44
VILA VELHA,JOCKEY DE ITAPARICA,objetos,44
SERRA,CENTRAL CARAPINA,patrimonial,43
SERRA,CIDADE CONTINENTAL,patrimonial,43
SERRA,JOSE DE ANCHIETA,patrimonial,43
SERRA,NOVA ALMEIDA CENTRO,patrimonial,43
SOORETAMA,OUTRO LOCAL,patrimonial,43
VILA VELHA,SANTA RITA,patrimonial,43
SERRA,ROSARIO DE FATIMA,objetos,42
VILA VELHA,RIVIERA DA BARRA,patrimonial,42
VILA VELHA,VILA GARRIDO,patrimonial,42
VITORIA,ILHA DE SANTA MARIA,patrimonial,42
VITORIA,SANTA MARTHA,patrimonial,42
CARIACICA,PORTO DE CARIACICA,patrimonial,41
GUACUI,CENTRO,patrimonial,41
GUARAPARI,NOVA GUARAPARI,objetos,41
ITAPEMIRIM,CENTRO,patrimonial,41
SERRA,BAIRRO DAS LARANJEIRAS,violencia_social,41
SERRA,SAO DIOGO I,patrimonial,41
SERRA,SERRA DOURADA II,patrimonial,41
VITORIA,GOIABEIRAS,objetos,41
VITORIA,PARQUE MOSCOSO,patrimonial,41
CARIACICA,SAO GERALDO,patrimonial,40
GUARAPARI,IPIRANGA,patrimonial,40
LINHARES,PLANALTO,patrimonial,40
SERRA,MANGUINHOS,patrimonial,40
VILA VELHA,RIO MARINHO,objetos,40
CARIACICA,NOVA BRASILIA,patrimonial,39
CARIACICA,NOVA ROSA DA PENHA,objetos,39
CARIACICA,NOVA ROSA DA PENHA,violencia_social,39
CARIACICA,VILA PALESTINA,patrimonial,39
GUARAPARI,MUQUICABA,objetos,39
CASTELO,CENTRO,patrimonial,38
SAO MATEUS,CENTRO,patrimonial,38
SERRA,JARDIM ATLANTICO,patrimonial,38
VILA VELHA,ARACAS,objetos,38
VILA VELHA,BARRAMARES,violencia_social,38
VILA VELHA,COBILANDIA,objetos,38
VILA VELHA,ILHA DAS FLORES,patrimonial,38
VILA VELHA,PONTA DA FRUTA,patrimonial,38
VILA VELHA,TERRA VERMELHA,patrimonial,38
VITORIA,REPUBLICA,patrimonial,38
CARIACICA,RIO BRANCO,patrimonial,37
CARIACICA,SANTO ANDRE,patrimonial,37
FUNDAO,PRAIA GRANDE,patrimonial,37
LINHARES,ARACA,patrimonial,37
LINHARES,PLANALTO,violencia_social,37
MARECHAL FLORIANO,CENTRO,patrimonial,37
SANTA MARIA DE JETIBA,CENTRO,patrimonial,37
SANTA MARIA DE JETIBA,OUTRO LOCAL,patrimonial,37
SAO MATEUS,GURIRI,patrimonial,37
SAO MATEUS,OUTRO LOCAL,digital,37
SERRA,NOVO PORTO CANOA,patrimonial,37
VILA VELHA,GUARANHUNS,patrimonial,37
VILA VELHA,JABURUNA,patrimonial,37
VILA VELHA,NOSSA SENHORA DA PENHA,objetos,37
VILA VELHA,PRAIA DA COSTA,violencia_social,37
VILA VELHA,SANTA MONICA,patrimonial,37
CACHOEIRO DE ITAPEMIRIM,AQUIDABAN,patrimonial,36
CARIACICA,BELA AURORA,patrimonial,36
GUARAPARI,PORTO GRANDE,objetos,36
SAO JOSE DO CALCADO,CENTRO,patrimonial,36
SERRA,NOVO HORIZONTE,objetos,36
SERRA,NOVO HORIZONTE,violencia_social,36
VILA VELHA,CRISTOVAO COLOMBO,patrimonial,36
VITORIA,SANTA LUCIA,objetos,36
ALEGRE,CENTRO,patrimonial,35
CARIACICA,ALTO LAGE,objetos,35
CARIACICA,BANDEIRANTES,patrimonial,35
CARIACICA,CAMPO VERDE,patrimonial,35
MARATAIZES,BARRA DE ITAPEMIRIM,violencia_social,35
SERRA,HELIO FERRAZ,patrimonial,35
SERRA,RESIDENCIAL JACARAIPE,patrimonial,35
VILA VELHA,PAUL,patrimonial,35
VITORIA,BONFIM,patrimonial,35
VITORIA,GURIGICA,patrimonial,35
