_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,56776463,2025-01-01T00:00:00,15:40:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MANTENOPOLIS,SAO JOSE DE MANTENOPOLIS,CORREGO ALTO SÃO JOSE,AMBIENTE WEB
2,57062189,2025-01-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,SAO LOURENCO,AV ALFREDO CALMON,AMBIENTE WEB
3,56782907,2025-02-01T00:00:00,07:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ANCHIETA,JUSTICA II,RUA AMELIA DONDONE PAGANINI,AMBIENTE WEB
4,56790403,2025-02-01T00:00:00,21:07:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VENDA NOVA DO IMIGRANTE,VILA DA MATA,RUA DAS MARGARIDAS,AMBIENTE WEB
5,56815441,2025-02-01T00:00:00,08:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MATA DA PRAIA,AV COMANDANTE ALVARO MARTINS,RESIDÊNCIA
6,56917485,2025-02-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,PRAIA DO CANTO,RUA ALEIXO NETO,AMBIENTE WEB
7,57249854,2025-02-01T00:00:00,08:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SAO SILVANO,RUA EMILSON COUTINHO,COMÉRCIO
8,56788729,2025-03-01T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,ITAPOA,S/I,AMBIENTE WEB
9,56792079,2025-03-01T00:00:00,16:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,PRAIA DA COSTA,APARTAMENTO,AMBIENTE WEB
10,56807368,2025-03-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,CASCATA,RUA DAS GARDENIAS,AMBIENTE WEB
11,56814869,2025-03-01T00:00:00,15:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,AVENIDA RAUL OLIVEIRA NEVES,OUTRO LOCAL
12,56814927,2025-03-01T00:00:00,16:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA ADEMAR LUIZ NEPOMUCENO,AMBIENTE WEB
13,56815611,2025-03-01T00:00:00,13:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,S/I,OUTRO LOCAL
14,56816208,2025-03-01T00:00:00,23:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,VILA BATISTA,RUA SANTO ALEIXO,AMBIENTE WEB
15,56816516,2025-03-01T00:00:00,09:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,VALE ENCANTADO,RUA LUCILANDIA,AMBIENTE WEB
16,56815184,2025-04-01T00:00:00,17:05:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ALFREDO CHAVES,OURO BRANCO,CASA,AMBIENTE WEB
17,56826352,2025-04-01T00:00:00,21:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,NOVA VALVERDE,RUA MATO GROSSO,RESIDÊNCIA
18,56816450,2025-05-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
19,56829669,2025-05-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
20,56888090,2025-05-01T00:00:00,20:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,VERA CRUZ,RUA JOSE ANTONIO DA SILVA,OUTRO LOCAL
21,56894841,2025-05-01T00:00:00,00:42:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,OUTRO LOCAL
22,56952466,2025-05-01T00:00:00,21:49:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,OUTRO LOCAL
23,56815760,2025-06-01T00:00:00,08:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MATA DA PRAIA,AV. DANTE MICHELINE,AMBIENTE WEB
24,56819107,2025-06-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
25,56822269,2025-06-01T00:00:00,18:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,GUARAPARI,NOVA GUARAPARI,ALAMEDA PORCITOS,AMBIENTE WEB
26,56825205,2025-06-01T00:00:00,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,RUA MARIA ELEONORA PEREIRA,AMBIENTE WEB
27,56825308,2025-06-01T00:00:00,13:53:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,S/I,OUTRO LOCAL
28,56826329,2025-06-01T00:00:00,16:31:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VIANA,VALE DO SOL,RUA BARAO DE MESQUITA,AMBIENTE WEB
29,56827391,2025-06-01T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,JARDIM LIMOEIRO,AV DESEMBARGADOR MARIO DA SILVA NUNES,AMBIENTE WEB
30,56837210,2025-06-01T00:00:00,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,PONTE DO PANCAS,S/I,AMBIENTE WEB
31,56848604,2025-06-01T00:00:00,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CASTELO,NOSSA SENHORA APARECIDA,S/I,AMBIENTE WEB
32,56914769,2025-06-01T00:00:00,17:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VARGEM ALTA,BELEM,S/I,AMBIENTE WEB
33,56914779,2025-06-01T00:00:00,17:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VARGEM ALTA,BELEM,S/I,AMBIENTE WEB
34,57038077,2025-06-01T00:00:00,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO ROQUE DO CANAA,VILA VERDE,S/I,AMBIENTE WEB
35,56826440,2025-07-01T00:00:00,07:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,PRAIA DA COSTA,RUA JOSEPH ZGAIB,AMBIENTE WEB
36,56828146,2025-07-01T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PRESIDENTE KENNEDY,SAO EDUARDO,RUA BARTOLOMEU SANTIAGO,AMBIENTE WEB
37,56835267,2025-07-01T00:00:00,22:24:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PINHEIROS,OUTRO LOCAL,S/I,AMBIENTE WEB
38,56836934,2025-07-01T00:00:00,17:44:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SANTOS DUMONT,S/I,AMBIENTE WEB
