_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,56770499,2025-01-01T00:00:00,14:17:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CARIACICA,VILA INDEPENDENCIA,RUA EMILIO CHAGAS,VIA PÚBLICA
2,56774023,2025-01-01T00:00:00,22:54:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,SERRA CENTRO,RUA MAESTRO ANTONIO CICERO,VIA PÚBLICA
3,56775790,2025-01-01T00:00:00,10:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,MARIA ORTIZ,RUA PROFESSOR BALBINO DE LIMA PITA,AMBIENTE WEB
4,56775849,2025-01-01T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,ILHA DOS AYRES,S/I,OUTRO LOCAL
5,56776855,2025-01-01T00:00:00,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,PINHEIROS,COLINA,RUA DA CONSOLAÇÃO,AMBIENTE WEB
6,56776960,2025-01-01T00:00:00,23:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,VILA NOVA,RUA VINTE E OITO,AMBIENTE WEB
7,56777814,2025-01-01T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,MARATAIZES,BARRA DE ITAPEMIRIM,RUA JOSE BRUMANA,AMBIENTE WEB
8,56779393,2025-01-01T00:00:00,02:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,JARDIM CARAPINA,RUA BETIS,RESIDÊNCIA
9,56780066,2025-01-01T00:00:00,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,NOVA VENECIA,OUTRO LOCAL,"BAIRRO SÃO CRISTOVÃO, RUA W2",ESCRITORIO
10,56780613,2025-01-01T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,MATA DA PRAIA,RUA DOUTOR DÓRIO SILVA,AMBIENTE WEB
11,56781177,2025-01-01T00:00:00,12:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,PRAIA DE ITAPARICA,AVENIDA ESTUDANTE JOSÉ JÚLIO DE SOUZA,RESIDÊNCIA
12,56781872,2025-01-01T00:00:00,16:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,RESIDENCIAL COQUEIRAL,RUA IVAN NEIVA NEVES,OUTRO LOCAL
13,56787485,2025-01-01T00:00:00,21:16:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,PRAIA DO CANTO,S/I,AMBIENTE WEB
14,56788683,2025-01-01T00:00:00,23:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,TERRA VERMELHA,RUA CANARINHO,AMBIENTE WEB
15,56792968,2025-01-01T00:00:00,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,CARAPINA I,RUA SANTA LUZIA,AMBIENTE WEB
