_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,56765023,2025-01-01T00:00:00,01:54:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,CONCEICAO DA BARRA,ITAUNAS,RUA NAO CADASTRADA,VIA PÚBLICA
2,56766451,2025-01-01T00:00:00,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ITAPEMIRIM,ITAIPAVA,PRAIA DA PEDRA,VIA PÚBLICA
3,56766480,2025-01-01T00:00:00,06:01:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ARACRUZ,BARRA DO SAHY,NAO INFORMADO,VIA PÚBLICA
4,56771893,2025-01-01T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ITAPOA,"NA PRAIA , NA AREIA",OUTRO LOCAL
5,56775814,2025-01-01T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,S/I,VIA PÚBLICA
6,56776511,2025-01-01T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,OUTRO LOCAL,CALCADAO DA PRAIA,OUTRO LOCAL
7,56776523,2025-01-01T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,CENTRO,S/I,OUTRO LOCAL
8,56776535,2025-01-01T00:00:00,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,APARECIDA,PRAIA,OUTRO LOCAL
9,56776560,2025-01-01T00:00:00,01:13:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,JARDIM MAILY,AVENIDA BEIRA MAR,OUTRO LOCAL
10,56776730,2025-01-01T00:00:00,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIA ORTIZ,RUA PROFESSOR CARLOS LEONARDO KULNIG,VIA PÚBLICA
