_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
1,56767335,2025-01-01T00:00:00,09:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,45,1 - Masculino,Parda,VILA VELHA,JARDIM GUARANHUNS,RUA SETE,Domicílio
2,56766901,2025-01-01T00:00:00,07:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,LINHARES,PONTAL DO IPIRANGA,RUA DO SOL,Terreno Baldio / Construção / Mata
3,56765845,2025-01-01T00:00:00,04:17,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,44,1 - Masculino,Parda,VILA VELHA,BARRAMARES,AV SAO JOSE,Via Pública
4,56764736,2025-01-01T00:00:00,01:08,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,17,1 - Masculino,Parda,DIVINO DE SAO LOURENCO,PATRIMONIO DA PENHA,RUA NÃO CADASTRADA,Via Pública
5,56775700,2025-02-01T00:00:00,08:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VIANA,SOTECO,RUA MARIA SOARES DE JESUS,Via Pública
6,56794431,2025-03-01T00:00:00,22:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,43,1 - Masculino,Branca,SERRA,VILA NOVA DE COLARES,RUA JAU,Via Pública
7,56793875,2025-03-01T00:00:00,22:35,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,2 - Feminino,Negra,SERRA,CENTRAL CARAPINA,RUA NÃO CADASTRADA,Via Pública
8,56784813,2025-03-01T00:00:00,01:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,44,1 - Masculino,Parda,BOA ESPERANÇA,ZONA RURAL,RUA NÃO CADASTRADA,Estabelecimento Comercial
9,56813270,2025-05-01T00:00:00,23:25,CRIMES CONTRA A PESSOA,Feminicídio,ES,19,2 - Feminino,Parda,SERRA,JOSE DE ANCHIETA,AV CORSANTO,Domicílio
10,56812147,2025-05-01T00:00:00,20:44,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Branca,SOORETAMA,CENTRO,AV VISTA ALEGRE,Estabelecimento Comercial
11,56802341,2025-05-01T00:00:00,19:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,CARIACICA,JARDIM BOTANICO,RUA ANCHIETA,Estabelecimento Comercial
12,56807241,2025-05-01T00:00:00,10:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,49,1 - Masculino,Branca,FUNDAO,CENTRO,RUA CANDIDO VIEIRA,Domicílio
13,56806690,2025-05-01T00:00:00,08:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,51,2 - Feminino,Parda,SERRA,LARANJEIRAS VELHA,AV CEL MANOEL NUNES,Estabelecimento Industrial
14,56817365,2025-06-01T00:00:00,12:19,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,17,2 - Feminino,Branca,CARIACICA,PADRE GABRIEL,RUA DOS TRABALHADORES,Via Pública
15,56814802,2025-06-01T00:00:00,08:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,CARIACICA,RETIRO SAUDOSO,RUA SANTA ROSA,Via Pública
16,56844279,2025-09-01T00:00:00,00:57,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,LINHARES,NOVA BETHANIA,AV MARIA DEOCLECIO BARBOSA,Via Pública
17,56860264,2025-10-01T00:00:00,15:56,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,VILA VELHA,RIO MARINHO,RUA REGENCIA,Via Pública
18,56854928,2025-10-01T00:00:00,06:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Parda,MARATAIZES,ACAPULCO,AV ESPINHA DE PEIXE,Unidade Prisional
19,56873705,2025-11-01T00:00:00,22:23,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,35,1 - Masculino,Parda,VITORIA,ESTRELINHA,RUA OITO DE JULHO,Domicílio
20,56865617,2025-11-01T00:00:00,02:39,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Parda,ALEGRE,RIVE,BR 482,Estabelecimento Comercial
21,56879402,2025-12-01T00:00:00,14:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,51,1 - Masculino,Parda,VITORIA,CONQUISTA,RUA MANOEL MARTINS DE OLVIEIRA,Terreno Baldio / Construção / Mata
22,56876860,2025-12-01T00:00:00,09:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,SERRA,BALNEARIO DE CARAPEBUS,RUA IPE,Terreno Baldio / Construção / Mata
23,56891956,2025-01-13T00:00:00,19:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,41,1 - Masculino,Branca,VITORIA,ROMAO,ESC CHRISTOVAO XIMENES,Via Pública
24,56890197,2025-01-13T00:00:00,16:22,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Branca,JAGUARE,SAO ROQUE,RUA NÃO CADASTRADA,Domicílio
