_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
1,56766451,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ITAPEMIRIM,ITAIPAVA,PRAIA DA PEDRA,VIA PÚBLICA,S/I,APPLE,IPHONE 15,S/I
2,56767157,2025-01-01T00:00:00,07:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,CARIACICA,NOVO BRASIL,RUA FLOR DE LIZ,RESIDÊNCIA,MOTOCICLETA,HONDA,CG 150 TITAN,PRETO
3,56767186,2025-01-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,ITAPEMIRIM,CENTRO,RUA PEDRADAS,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOL II,BRANCO
4,56767465,2025-01-01T00:00:00,05:40:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM VEÍCULO,ES,VITORIA,SANTA LUCIA,AV:RIO BRANCO,VIA PÚBLICA,AUTOMÓVEL,TOYOTA,ETIOS SD X,CINZA
5,56767925,2025-01-01T00:00:00,03:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUARAPARI,NOVA GUARAPARI,R.A,CASA DE SHOW/EVENTOS,S/I,XIAOMI,REDMI NOTE 11 PRETO,S/I
6,56768236,2025-01-01T00:00:00,07:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,PARQUE JACARAIPE,"AV, ABIDO SAAD",COMÉRCIO,S/I,MOTOROLA,MOTO G,S/I
7,56768543,2025-01-01T00:00:00,10:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,ROD BR 101 KM 264,COMÉRCIO,MOTOCICLETA,YAMAHA,YBR125I FACTOR ED,VERMELHO
8,56769558,2025-01-01T00:00:00,12:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,TERMINAL DE CARAPINA,TRANSP COLETIVO,S/I,MOTOROLA,MOTO G 54,S/I
9,56769807,2025-01-01T00:00:00,00:40:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,PIUMA,CENTRO,RUA PRINCIPAL,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOL G5,PRATA
10,56770259,2025-01-01T00:00:00,02:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,SERRA,PARQUE JACARAIPE,RUA ARACAJU,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEN,GOL,CINZA
