_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,56770091,2025-01-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,EM FRENTE O PONTO X,VIA PÚBLICA
2,56771802,2025-01-01T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTOS DUMONT,R KLEBER JOSE DE ANDRADE,VIA PÚBLICA
3,56775425,2025-01-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ALTO LAGE,AVENIDA MARIO GURGEL,VIA PÚBLICA
4,56776169,2025-01-01T00:00:00,04:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MANGUINHOS,RUA LARIPE,VIA PÚBLICA
5,56777341,2025-01-01T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,NÃO INFORMADO,VIA PÚBLICA
6,56777591,2025-01-01T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,S/I,VIA PÚBLICA
7,56778088,2025-01-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JOSE DE ANCHIETA,S/I,VIA PÚBLICA
8,56778731,2025-01-01T00:00:00,23:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VISTA DA SERRA II,S/I,VIA PÚBLICA
9,56778840,2025-01-01T00:00:00,01:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AVENIDA ANTONIO GIL VELLOZO,VIA PÚBLICA
10,56778889,2025-01-01T00:00:00,00:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,S/I,VIA PÚBLICA
11,56779759,2025-01-01T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,SANTA MONICA,RUA ESPIRITO SANTO,VIA PÚBLICA
12,56781081,2025-01-01T00:00:00,23:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,PRAIA DE ACAIACA,ORLA DE PIÚMA,VIA PÚBLICA
13,56786066,2025-01-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,S/I,VIA PÚBLICA
14,56786890,2025-01-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BAIRRO DAS LARANJEIRAS,AVENIDA MINAS GERAIS,VIA PÚBLICA
15,56790096,2025-01-01T00:00:00,01:13:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV. DOS EXPEDICIONÁRIOS,VIA PÚBLICA
16,56790506,2025-01-01T00:00:00,03:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VALPARAISO,RUA ANCHIETA,VIA PÚBLICA
17,56798150,2025-01-01T00:00:00,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,DIVINO ESPIRITO SANTO,S/I,VIA PÚBLICA
18,56814712,2025-01-01T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA ROSA DA PENHA,S/I,VIA PÚBLICA
19,56816852,2025-01-01T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CONSOLACAO,ESCADARIA MANOEL PEREIRA,VIA PÚBLICA
20,56820503,2025-01-01T00:00:00,03:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,COBILANDIA,S/I,VIA PÚBLICA
21,56830552,2025-01-01T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CARAPINA,S/I,VIA PÚBLICA
22,56839318,2025-01-01T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,TABAJARA,S/I,VIA PÚBLICA
23,56846534,2025-01-01T00:00:00,13:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BAIRRO DE FATIMA,S/I,VIA PÚBLICA
24,56858405,2025-01-01T00:00:00,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AV DANTE MICHELINE,VIA PÚBLICA
25,56889915,2025-01-01T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,VILA RUBIM,S/I,VIA PÚBLICA
26,56967940,2025-01-01T00:00:00,12:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINE,VIA PÚBLICA
