_id,DATA DO FATO,HORA DO FATO,TIPO DE BOLETIM,TIPO DE ENVOLVIMENTO,IDADE,SEXO,CÚTIS,CÓD. INCIDENTE,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,TIPO DE LOCAL
1,2025-01-01T00:00:00,05:30:00,BU,VITIMA,S/I,S/I,BRANCA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA
2,2025-01-01T00:00:00,05:30:00,BU,VITIMA,S/I,S/I,BRANCA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA
3,2025-01-01T00:00:00,05:30:00,BU,VITIMA,S/I,S/I,PARDA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA
4,2025-01-01T00:00:00,19:20:00,BABU,VITIMA,S/I,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO ROQUE DO CANAA,FRANCISCO TOREZANI,RESIDÊNCIA
5,2025-01-01T00:00:00,00:49:00,BABU,VITIMA,12,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CENTRO,VIA PÚBLICA
6,2025-01-01T00:00:00,18:12:00,BABU,VITIMA,14,MASCULINO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,BAIXO GUANDU,ROSARIO II,RESIDÊNCIA
7,2025-01-01T00:00:00,19:16:00,BABU,VITIMA,14,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO MATEUS,LITORANEO,VIA PÚBLICA
8,2025-01-01T00:00:00,22:19:00,BABU,VITIMA,15,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,REPARTICAO PUBLICA
9,2025-01-01T00:00:00,12:07:00,BABU,VITIMA,16,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO ROQUE DO CANAA,OUTRO LOCAL,VIA PÚBLICA
10,2025-01-01T00:00:00,13:45:00,BABU,VITIMA,17,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SERRA,FEU ROSA,RESIDÊNCIA
11,2025-01-01T00:00:00,15:39:00,BABU,VITIMA,18,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,RESIDÊNCIA
12,2025-01-01T00:00:00,21:04:00,BABU,VITIMA,18,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SANTA LEOPOLDINA,CENTRO,RESIDÊNCIA
13,2025-01-01T00:00:00,02:00:00,BU,VITIMA,18,FEMININO,BRANCA,A07F,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VALERIO,ZONA RURAL,RESIDÊNCIA
14,2025-01-01T00:00:00,15:39:00,BABU,VITIMA,19,MASCULINO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,RESIDÊNCIA
15,2025-01-01T00:00:00,03:20:00,BU,VITIMA,19,FEMININO,NEGRA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,ATAIDE,RESIDÊNCIA
16,2025-01-01T00:00:00,05:38:00,BABU,VITIMA,20,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO JOSE DO CALCADO,CENTRO,RESIDÊNCIA
17,2025-01-01T00:00:00,07:25:00,BABU,VITIMA,20,FEMININO,NEGRA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,RESIDÊNCIA
18,2025-01-01T00:00:00,01:05:00,BABU,VITIMA,21,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,FUNDAO,ZONA RURAL,RESIDÊNCIA
19,2025-01-01T00:00:00,00:00:00,BU,VITIMA,21,S/I,INDETERMINADA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,BARRA DE SAO FRANCISCO,JABUTICABA,RESIDÊNCIA
20,2025-01-01T00:00:00,18:00:00,BU,VITIMA,21,FEMININO,BRANCA,A17A,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: DESCUMPRIMENTO DA MEDIDA PROTETIVA: CONTRA MULHER - LEI MARIA DA PENHA,ES,SERRA,CARAPINA GRANDE,RESIDÊNCIA
21,2025-01-01T00:00:00,Indeterminada,BU,VITIMA,22,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,JOAO NEIVA,OUTRO LOCAL,RESIDÊNCIA
22,2025-01-01T00:00:00,23:02:00,BABU,VITIMA,22,FEMININO,BRANCA,A17A,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: DESCUMPRIMENTO DA MEDIDA PROTETIVA: CONTRA MULHER - LEI MARIA DA PENHA,ES,COLATINA,COLATINA VELHA,VIA PÚBLICA
23,2025-01-01T00:00:00,Indeterminada,BU,VITIMA,22,FEMININO,PARDA,A13B,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: AMEAÇA: CONTRA MULHER - LEI MARIA PENHA,ES,GUARAPARI,ADALBERTO SIMAO NADER,RESIDÊNCIA
24,2025-01-01T00:00:00,20:00:00,BU,VITIMA,22,FEMININO,PARDA,A13B,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: AMEAÇA: CONTRA MULHER - LEI MARIA PENHA,ES,VENDA NOVA DO IMIGRANTE,OUTRO LOCAL,RESIDÊNCIA
25,2025-01-01T00:00:00,16:30:00,BU,VITIMA,22,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,BAIXO GUANDU,SAO PEDRO,RESIDÊNCIA
26,2025-01-01T00:00:00,04:42:00,BABU,VITIMA,23,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARECHAL FLORIANO,CENTRO,VIA PÚBLICA
27,2025-01-01T00:00:00,06:00:00,BU,VITIMA,23,FEMININO,NEGRA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,DIVINO ESPIRITO SANTO,RESIDÊNCIA
28,2025-01-01T00:00:00,13:48:00,BABU,VITIMA,24,FEMININO,NEGRA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,CARIACICA,CARIACICA SEDE,VIA PÚBLICA
